Archivo,Distrito,Mes,H01_02,H01_04,H01_05,H01_06,H01_07,H01_08,H01_09,H01_10,H01_11,H01_12,H01_13,H01_14,H01_15,H01_16,H02_01,H02_02,H02_03,H02_04,H02_05,H02_06,H02_07,H02_08,H02_09,H02_10,H02_11,H02_12,H02_13,H02_14,H02_15,H02_16,H02_17,H02_18,H02_19,H02_20,H02_21,H02_22,H02_23,H02_24,H02_25,H02_26,H03_01,H03_02,H03_03,H03_04,H03_05,H03_06,H03_07,H03_08,H03_09,H03_10,H03_11,H03_12,H03_13,H03_14,H03_15,H03_16,H03_17,H03_18,H03_19,H03_20,H03_21,H03_22,H04_01,H04_02,H04_03,H04_04,H04_05,H04_06,H04_07,H04_08,H04_09,H04_10,H04_11,H04_12,H05_01,H05_02,H05_03,H05_04,H05_05,H05_06,H05_07,H05_08,H05_09,H05_10,H05_11,H05_12,H05_13,H05_14,H05_15,H05_16,H05_17,H05_18,H05_19,H05_20,H05_21,H05_22,H05_23,H05_24,H05_25,H05_26,H05_27,H05_28,H05_29,H05_30,H05_31,H05_32,H05_33,H05_34,H05_35,H05_36,H05_37,H05_38,H05_39,H05_40,H05_510_2023,H05_51d_2023,H05_52d_2023,H05_53d_2023,H05_54d_2023,H05_55d_2023,H05_56d_2023,H05_57d_2023,H05_58d_2023,H05_59d_2023,H06_01,H06_02,H06_03,H06_04,H06_05,H06_06,H06_07,H06_08,H06_09,H06_10,H06_100,H06_101,H06_102,H06_103,H06_104,H06_105,H06_106,H06_107,H06_108,H06_109,H06_11,H06_110,H06_111,H06_112,H06_113,H06_114,H06_115,H06_116,H06_117,H06_12,H06_13,H06_14,H06_15,H06_16,H06_17,H06_18,H06_19,H06_20,H06_21,H06_22,H06_23,H06_24,H06_25,H06_26,H06_27,H06_28,H06_29,H06_30,H06_31,H06_32,H06_33,H06_34,H06_35,H06_36,H06_37,H06_38,H06_39,H06_40,H06_41,H06_42,H06_43,H06_44,H06_45,H06_46,H06_47,H06_48,H06_49,H06_50,H06_51,H06_52,H06_53,H06_54,H06_55,H06_56,H06_57,H06_58,H06_59,H06_60,H06_61,H06_62,H06_63,H06_64,H06_65,H06_66,H06_67,H06_68,H06_69,H06_70,H06_71,H06_72,H06_73,H06_74,H06_75,H06_76,H06_77,H06_78,H06_79,H06_80,H06_81,H06_82,H06_83,H06_84,H06_85,H06_86,H06_87,H06_88,H06_89,H06_90,H06_91,H06_92,H06_93,H06_94,H06_95,H06_96,H06_97,H06_98,H06_99,H07_01,H07_02,H07_03,H07_04,H07_05,H07_06,H07_07,H07_08,H07_09,H07_10,H07_11,H07_12,H07_13,H07_14,H07_15,H07_16,H07_17,H07_18,H07_19,H07_20,H07_21,H07_22,H07_23,H07_24,H07_25,H07_26,H07_27,H07_28,H07_29,H07_30,H07_31,H07_32,H07_33,H07_34,H07_35,H07_36,H07_37,H07_38,H07_39,H07_40,H07_41,H07_42,H07_43,H07_44,H07_45,H07_46,H07_47,H07_48,H07_49,H07_50,H07_51,H07_52,H07_53,H07_54,H07_55,H07_56,H07_57,H07_58,H07_59,H07_60,H07_61,H07_62,H07_63,H07_64,H07_65,H07_66,H07_67,H07_68,H07_69,H07_70,H07_71,H07_72,H07_73,H07_74,H07_75,H07_76,H07_77,H07_78,H07_79,H07_80,H07_81,H07_82,H07_83,H07_84,H07_85,H07_86,H07_87,H07_88,H07_89,H07_90,H07_91,H07_92,H07_93,H07_94,H07_95,H07_96,H07_97,H08_01,H08_02,H08_03,H08_04,H08_05,H08_06,H08_07,H08_08,H08_09,H08_10,H08_11,H08_12,H08_13,H08_14,H08_15,H08_16,H08_17,H08_18,H08_19,H08_20,H08_21,H08_22,H08_23,H08_24,H08_25,H08_26,H08_27,H08_28,H08_29,H08_30,H08_31,H08_32,H08_33,H08_34,H08_35,H08_36,H08_37,H08_38,H08_39,H08_40,H08_41,H08_42,H08_43,H08_44,H08_45,H08_46,H08_47,H08_48,H08_49,H08_50,H08_51,H08_52,H08_53,H08_54,H08_81_2023,H08_821a_2023,H08_821b_2023,H08_821c_2023,H08_822a_2023,H08_822b_2023,H08_822c_2023,H08_822d_2023,H08_822e_2023,H08_823a_2023,H08_823b_2023,H08_83a_2023,H09_01,H09_02,H09_03,H09_04,H09_05,H09_06,H09_07,H09_08,H09_09,H09_10,H09_11,H09_12,H09_13,H09_14,H09_15,H09_16,H09_17,H09_18,H09_19,H09_20,H09_21,H09_22,H09_23,H09_24,H09_25,H09_26,H09_27,H09_28,H09_29,H09_30,H09_31,H09_32,H09_33,H09_34,H09_35,H09_36,H09_37,H09_38,H09_39,H09_40,H09_41,H09_42,H09_43,H09_44,H09_45,H09_46,H09_47,H09_48,H11_01,H11_02,H11_03,H11_04,H11_05,H11_06,H11_07,H11_08
Archivo_EST-10.xls,10,FEBRERO,,83,158,197,,,,76,,61,38,136,,38,,,,,,,,,,,,,,,1,,9,,,,32,18,,,3,,,,6,,,,,,,,,,10,20,,,,,,,0,0,729,103,1432,4,566,426,12,28,74,121,68,8,9,9,12,10,0,0,0,0,0,0,7,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,6,2,45,0,0,14,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,3,,,,,1,3,2,,,,,,,,1,1,7,,,,,,,3,6,,,,,,,,,,,,,1,,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15,3,4,48,196,47,116,405,0,0,9,50,0,0,0,73,14,2,6,12,10,9,6,5,10,0,0,0,102,9,12,3,18,8,0,0,30,1,2,0,10,0,0,0,0,0,0,0,3,1,0,1277,3,42,7,63,0,0,0,0,0,0,0,0,,,,,,,,,2,7,,,,,5,26,9,38,5,15,3,4,,1,5,14,,,14,,,,,,,,,,4,23,,,,,,,,,0,0,0,0,0,0,0,0
Archivo_EST-11.xls,11,FEBRERO,,96,203,57,0,0,1,107,0,91,14,60,0,0,,,,,,,,,,1,,,,,,,7,,6,1,63,7,,,13,4,,,2,,,,,,,,,,,1,,,,,,,,,157,98,274,15,690,462,5,0,200,227,203,0,5,6,11,2,0,0,0,0,0,0,9,4,55,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,1,0,4,4,97,0,0,1,0,4,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,5,,,,,,2,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,,,,,,,1,3,,,,,,1,,4,59,1,,,,,1,,95,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5,1,5,99,81,42,151,298,0,0,1,5,0,0,0,20,12,3,7,34,7,2,4,21,31,1,0,0,60,5,8,0,34,2,3,0,2,1,1,1,4,0,0,0,2,0,0,0,2,4,0,1036,8,146,5,40,4,0,0,0,0,0,0,0,,,,,,,,1,,,,,,,,2,13,8,3,8,3,4,,,29,19,,,,,,,,,,,,,,3,,,,,,,,,256,9,26,167,2,0,0,0
Archivo_EST-12.xls,12,Febrero,,35,56,13,0,0,0,22,0,28,0,7,0,0,,,,,,,,,,,,,,,1,,5,,7,,11,,,,4,,,,,,,,,,,,,,,,,,,,,,0,0,270,35,26,1,251,608,4,0,97,105,57,3,4,2,0,0,0,0,,,,,4,3,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,8,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3,,,,,,,,,2,,,,,1,,,,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,1,9,12,28,21,215,0,0,0,0,0,0,0,1,1,1,2,25,1,3,3,5,2,0,0,0,37,20,14,1,6,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,41,0,6,0,0,0,0,0,0,0,0,,6,,,,,,,,1,,,,,,6,1,12,2,6,,4,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Archivo_EST-13.xls,13,FEBRERO,,55,111,681,0,0,0,57,,46,0,158,294,240,,,,,,,,,,,,,,,2,,2,,2,,4,,,,3,,,,5,,,,,,,,,,28,,,,,,,,0,0,214,24,0,0,906,363,15,2,42,132,122,0,2,0,6,1,1,0,0,0,0,0,3,14,38,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11,5,6,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,13,,1,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,4,,,,,,,,,2,,,,,,,,1,6,1,,,,,,,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15,5,11,96,493,75,180,153,0,0,21,192,0,3,10,145,14,6,38,48,30,46,62,14,7,0,0,0,52,6,11,1,106,1,1,0,14,0,0,0,13,0,0,0,0,0,0,0,1,0,0,1799,0,27,30,0,0,0,0,0,0,0,0,0,,3,,,,,1,2,,5,,,1,2,1,14,3,14,,50,5,9,,,3,19,,,,,,,,,,,,,7,11,,,,,,,,,0,0,0,0,0,0,0,0
Archivo_EST-14.xls,14,FEBRERO,,41,90,21,0,0,0,50,0,61,0,8,0,2,,,,,,,,,,,,,,,,,3,,8,,43,,,,5,,,,,,,,,,,,,,2,,,,,,,,0,0,142,30,31,3,374,388,2,2,29,93,108,0,6,0,6,0,0,0,0,0,0,0,4,2,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,1,0,2,0,0,0,0,23,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,3,1,1,2,,,,,1,,,2,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,2,52,28,12,34,258,0,0,0,0,0,0,0,3,1,3,0,11,2,0,2,24,3,0,1,0,43,6,11,0,11,2,1,0,6,1,0,0,3,0,0,0,7,0,0,0,0,0,0,551,5,60,0,5,5,15,0,0,0,0,0,0,,,,,,,,,,,,,4,,,,2,4,4,7,7,4,,,10,6,,,,,,,,,,,,,,1,,,,,,,,,223,144,34,41,0,0,3,0
Archivo_EST-15.xls,15,FEBRERO,,50,108,0,0,0,0,59,0,59,0,0,0,0,,,,,,,,,2,,,,,,9,,7,,5,,6,,,,1,,1,,28,,,,,,,,,,,,,,,,,,,,206,,64,,592,275,5,4,167,29,99,0,2,4,2,1,1,2,,,,,7,1,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,2,4,2,3,4,3,0,0,0,0,33,0,0,0,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,2,3,6,3,1,,,,,,,,2,,,,,2,,,1,,,,,,,3,2,,,,,,,,,,,,,,,1,1,33,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,7,6,6,13,282,71,95,196,0,0,0,19,0,0,0,0,13,31,0,2,1,1,2,0,27,1,0,0,62,7,8,0,26,1,0,1,13,2,0,0,4,0,0,0,11,2,1,2,3,0,0,931,28,47,19,0,0,0,0,0,0,0,0,0,,1,,,,,1,5,,10,,1,,6,26,79,5,33,,11,7,18,,,3,40,,,,,1,7,,2,,,,,1,2,,,,,,,,,16,405,20,4,0,0,4,0
Archivo_EST-16.xlsx,16,FEBRERO,,40,65,149,,,,26,,23,3,77,46,26,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,20,2,,,,,,,,,1,,,,,,,,0,0,341,1,3,1,542,161,0,1,23,22,66,,13,12,2,3,2,2,0,0,0,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,12,9,5,0,2,24,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,1,,2,,,,,,3,7,,,,,,,,2,3,,1,,,,,,4,3,,,,,,,,,,,,,,4,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,14,1,15,40,98,38,88,114,0,0,5,22,1,0,1,64,14,2,4,3,4,0,0,1,60,0,0,0,60,3,8,0,78,0,0,0,12,2,0,0,10,0,0,0,0,0,0,0,0,0,0,756,1,46,7,11,0,0,0,0,0,0,0,0,,,,,,,,,,4,,,,1,,1,,6,,17,,,,8,1,13,,,,2,,,,,1,,,,,2,,,,,,,,,,,,,,1,,3
Archivo_EST-17.xls,17,FEBREO,,46,83,81,0,0,1,37,0,55,0,64,0,0,,,,,,,,,,,,,,,,,6,,2,,24,,,,17,,,,6,,,,,,,,,,,,,,,,,,,,1126,528,79,5,435,487,2,2,232,159,143,0,5,3,7,1,0,0,0,0,0,0,3,0,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3,5,1,33,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,2,,,,,,,2,,5,1,,,,,5,4,,1,,1,,,,1,24,,30,,,,,,1,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,16,2,5,65,151,51,103,267,0,0,2,9,0,0,0,50,4,1,2,49,5,1,5,9,8,0,0,0,36,5,7,0,46,2,1,0,9,1,0,0,2,0,0,0,1,0,0,0,0,1,0,909,0,53,9,14,7,0,0,0,0,0,0,0,,,,2,,,,,,,,,,,,2,7,17,18,4,2,1,,,12,9,,,,1,,,,,,,,,,1,,,,,,,,,0,0,0,0,0,0,0,0
Archivo_EST-18.xls,18,Febrero,,67,144,0,0,0,0,78,0,78,0,0,0,0,,,,,,,,,24,,,,,,20,,,,1,,,,,,10,,,,2,,,,,,,,,,21,,,,,,,,,0,470,10,22,0,1710,276,25,61,38,250,130,3,9,4,28,12,,,,,,,5,6,8,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,2,1,1,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,1,3,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9,5,2,27,43,66,149,359,0,0,0,11,0,0,0,0,1,3,3,3,1,1,7,10,17,3,6,0,80,34,24,15,3,1,0,0,10,1,1,0,9,0,0,0,12,8,0,0,2,0,0,1002,2,136,5,0,0,0,0,0,0,0,0,0,,,,,,,,,4,,,,,,16,,,,2,,2,,,,1,,,,1,,,,,,,,,,7,,,,,,,,,,0,0,0,0,0,0,0,0
Archivo_EST-19.xls,19,Febrero,,127,306,43,0,0,0,180,0,181,5,14,19,4,,,,,,,,,4,,,,,,,,,,7,1,3,,,,126,,,,41,4,,,,,,,,,,,,,,,,,0,0,675,20,23,2,894,907,7,5,232,184,161,0,2,2,12,3,,,,,,,14,1,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3,1,11,13,2,2,0,0,2,25,0,0,0,0,0,1,0,0,3,,,,,,,,,,,,,,,,,,,,17,,1,,,,14,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,1,,,,,,,5,,,,,,,,,,5,2,,,,3,,4,6,1,,,,,1,,1,1,,,,,,,,,,,,,,2,5,27,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,15,1,3,45,160,64,160,301,0,1,0,15,0,0,0,7,12,2,1,2,3,4,6,0,2,0,0,0,83,8,8,4,27,1,3,0,28,1,0,0,4,0,0,0,16,0,0,0,2,1,0,1167,29,218,35,7,0,0,0,0,0,0,0,0,,,,,,,,,,2,,,,,6,24,,,6,18,3,7,,,31,23,,,,,,,,,,,,,,1,,,,,,,,,0,0,0,0,0,0,0,0
Archivo_EST-20.xls,20,FEBRERO,,39,93,42,0,0,0,55,0,55,0,31,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,2,0,33,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,10,43,2,527,131,8,6,172,21,68,0,15,7,2,0,0,0,0,0,0,0,3,3,35,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,18,12,2,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,4,2,1,0,0,0,0,0,0,7,6,36,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,28,56,95,16,80,219,1,2,4,7,0,0,0,14,1,1,1,6,10,1,1,22,13,1,0,0,45,9,3,3,14,0,0,0,2,0,0,0,13,1,0,0,0,0,0,0,0,0,0,-34,0,69,6,17,1,0,0,0,0,0,0,0,,,,,,,1,,,1,,,,,,,4,4,7,8,9,8,2,,5,4,,,2,1,,,,,,,,,,1,,,,,,,,,0,0,0,0,0,0,0,0
Archivo_EST-21.xls,21,Febrero,,29,194,9,0,0,0,166,0,164,2,6,2,1,,,,,,,,,,,,,,,2,,9,2,135,,16,,,,1,,,,1,,,,,,,,,,,,,,,,,,0,0,341,12,28,4,609,383,1,0,171,51,121,0,10,9,3,0,3,2,0,0,0,0,2,2,22,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,,1,2,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,2,,1,1,3,,1,,,,,,,3,,21,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10,1,4,29,71,58,85,181,1,0,0,9,0,0,0,1,3,0,1,2,2,0,5,1,33,11,3,0,69,10,7,1,45,2,1,3,10,0,0,0,24,0,0,0,30,0,0,0,5,14,2,833,0,186,2,5,0,0,1,0,0,0,0,0,,1,,,,,,,,2,,,,,1,1,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archivo_EST-22.xls,22,FEBRERO,,38,64,5,,,,27,,27,,5,,0,,,,,,,,,2,,,,,,6,,,,,,11,,,,,,,,8,,,,,,,,,,,,,,,,,,0,0,22,0,17,,429,619,10,29,42,145,143,0,8,6,6,3,,,,,,,6,1,24,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,2,3,6,10,2,3,1,0,21,0,0,0,0,0,0,0,0,0,0,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,2,2,,,,,2,2,3,10,,,,,2,0,3,5,,,,,,,,,,19,,,,,,1,1,2,,,,,,,,,,,,,,4,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,13,4,5,53,104,20,87,185,1,1,5,72,0,0,0,3,4,1,1,2,17,1,8,3,4,1,2,0,56,3,3,0,23,1,2,2,8,0,0,0,1,0,0,1,14,0,1,0,2,0,0,686,0,41,21,2,0,0,0,0,0,0,0,0,1,2,,,,,,,1,,,,,,11,3,17,9,,,6,,,,6,1,,,25,1,,1,,1,,,,,1,1,,,,,,,,,,,,,,,,2
Archivo_EST-23.xls,23,FEBRERO,,92,224,96,0,0,1,132,0,124,0,71,28,6,,,,,,,,,,,,,2,,,,48,,,,2,,,,1,,,,71,,,,,,,,,,,,,,,,,,0,0,1482,10,8,1,887,826,13,7,247,404,207,4,6,4,10,2,0,0,0,0,1,1,15,5,20,5,0,0,0,0,0,1,2,1,0,0,0,1,0,3,0,0,1,4,2,3,0,0,6,0,1,14,49,3,0,0,0,0,0,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,42,4,,4,,4,1,7,2,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,5,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,16,15,4,54,165,79,132,322,0,4,21,19,0,0,1,33,38,8,14,10,8,0,2,3,23,1,3,1,173,7,7,5,60,2,3,0,33,0,0,0,18,0,0,0,16,0,1,2,2,0,0,1333,60,66,38,37,0,0,0,0,0,0,0,0,,2,,,,,,,1,13,,,,,,,26,60,,,,3,,,4,22,,,2,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
Archivo_EST-24.xls,24,FEBRERO,,211,348,500,0,0,0,138,0,232,17,160,49,180,,,,,,,,,,,,,,,,,13,2,20,7,145,5,,,54,3,,,,,,,,,,,,,,,,,,,,,0,0,733,40,4,3,930,597,16,15,155,212,264,0,1,1,8,0,0,0,0,0,0,0,10,11,104,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,6,3,0,21,0,0,0,0,55,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,33,,1,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,3,3,17,,,,,,1,4,10,120,2,,,,,1,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9,7,17,134,272,92,157,589,0,0,0,0,0,3,7,108,55,7,19,57,24,4,5,6,1,0,0,0,62,4,2,2,55,0,0,0,17,0,0,0,2,0,0,0,32,2,3,0,1,0,0,1849,49,243,0,42,14,0,0,0,0,0,0,0,,,,,,,,,,1,,,,,3,5,,,34,23,18,13,,,14,13,,,,,,,,,,,,,,,,,,,,,,,32,11,3,24,0,3,0,0
